name;TIPOLOGIA;OID_;PARK_ID;area;Centroid_X;Centroid_Y;Perimeter;id;long;lat
PFM: Parque Florestal de Monsanto;;51;64;9100000.0000000000;-9.1900000000;38.7200000000;45136.4000000000;Lx079;-9.1750432396;38.7287146835
PFM: Parque Florestal de Monsanto;;51;64;9100000.0000000000;-9.1900000000;38.7200000000;45136.4000000000;Lx079;-9.1751624309;38.7287745634
PFM: Parque Florestal de Monsanto;;51;64;9100000.0000000000;-9.1900000000;38.7200000000;45136.4000000000;Lx079;-9.1752447224;38.7288937206
PFM: Parque Florestal de Monsanto;;51;64;9100000.0000000000;-9.1900000000;38.7200000000;45136.4000000000;Lx079;-9.1749066355;38.7289766825
PFM: Parque Florestal de Monsanto;;51;64;9100000.0000000000;-9.1900000000;38.7200000000;45136.4000000000;Lx079;-9.1746494402;38.7290820100
PFM: Parque Florestal de Monsanto;;51;64;9100000.0000000000;-9.1900000000;38.7200000000;45136.4000000000;Lx079;-9.1745557969;38.7291552471
PFM: Parque Florestal de Monsanto;;51;64;9100000.0000000000;-9.1900000000;38.7200000000;45136.4000000000;Lx079;-9.1744942951;38.7292436301
PFM: Parque Florestal de Monsanto;;51;64;9100000.0000000000;-9.1900000000;38.7200000000;45136.4000000000;Lx079;-9.1752034214;38.7309667776
PFM: Parque Florestal de Monsanto;;51;64;9100000.0000000000;-9.1900000000;38.7200000000;45136.4000000000;Lx079;-9.1722381899;38.7361408135
PFM: Parque Florestal de Monsanto;;51;64;9100000.0000000000;-9.1900000000;38.7200000000;45136.4000000000;Lx079;-9.1722956154;38.7362291834
PFM: Parque Florestal de Monsanto;;51;64;9100000.0000000000;-9.1900000000;38.7200000000;45136.4000000000;Lx079;-9.1723584189;38.7364186488
PFM: Parque Florestal de Monsanto;;51;64;9100000.0000000000;-9.1900000000;38.7200000000;45136.4000000000;Lx079;-9.1723842538;38.7365749944
PFM: Parque Florestal de Monsanto;;51;64;9100000.0000000000;-9.1900000000;38.7200000000;45136.4000000000;Lx079;-9.1725109479;38.7368839876
PFM: Parque Florestal de Monsanto;;51;64;9100000.0000000000;-9.1900000000;38.7200000000;45136.4000000000;Lx079;-9.1728775026;38.7374029847
PFM: Parque Florestal de Monsanto;;51;64;9100000.0000000000;-9.1900000000;38.7200000000;45136.4000000000;Lx079;-9.1730341405;38.7375601005
PFM: Parque Florestal de Monsanto;;51;64;9100000.0000000000;-9.1900000000;38.7200000000;45136.4000000000;Lx079;-9.1731309316;38.7378881899
PFM: Parque Florestal de Monsanto;;51;64;9100000.0000000000;-9.1900000000;38.7200000000;45136.4000000000;Lx079;-9.1790032738;38.7386939356
PFM: Parque Florestal de Monsanto;;51;64;9100000.0000000000;-9.1900000000;38.7200000000;45136.4000000000;Lx079;-9.1787357172;38.7387049422
PFM: Parque Florestal de Monsanto;;51;64;9100000.0000000000;-9.1900000000;38.7200000000;45136.4000000000;Lx079;-9.1776623744;38.7386114657
